 ,Area,Mean,Min,Max
1,25,255,255,255
2,65,255,255,255
3,88,255,255,255
4,112,255,255,255
5,95,255,255,255
6,138,255,255,255
7,278,255,255,255
8,129,255,255,255
9,117,255,255,255
10,94,255,255,255
11,101,255,255,255
12,82,255,255,255
13,88,255,255,255
14,94,255,255,255
15,61,255,255,255
16,90,255,255,255
17,115,255,255,255
18,96,255,255,255
19,86,255,255,255
20,190,255,255,255
21,88,255,255,255
22,113,255,255,255
23,103,255,255,255
24,17,255,255,255
25,1,255,255,255
26,89,255,255,255
27,114,255,255,255
28,170,255,255,255
29,93,255,255,255
30,127,255,255,255
31,10,255,255,255
32,46,255,255,255
33,95,255,255,255
34,90,255,255,255
35,109,255,255,255
36,104,255,255,255
37,118,255,255,255
38,5,255,255,255
39,184,255,255,255
40,240,255,255,255
41,191,255,255,255
42,301,255,255,255
43,210,255,255,255
44,2,255,255,255
45,4,255,255,255
46,398,255,255,255
47,76,255,255,255
48,3,255,255,255
49,148,255,255,255
50,101,255,255,255
51,101,255,255,255
52,83,255,255,255
53,105,255,255,255
54,42,255,255,255
55,118,255,255,255
56,12,255,255,255
57,122,255,255,255
58,104,255,255,255
59,84,255,255,255
60,64,255,255,255
61,87,255,255,255
62,102,255,255,255
63,59,255,255,255
64,5,255,255,255
65,100,255,255,255
66,14,255,255,255
67,41,255,255,255
68,2,255,255,255
69,4,255,255,255
